2025-12-30 14:00:26 - [core.risk_manager] - INFO - Position registered: pos_BTC/USDT:USDT_1767103226 - BTC/USDT:USDT
2025-12-30 14:00:26 - [core.portfolio_manager] - INFO - Position registered: pos_BTC/USDT:USDT_1767103226 - BTC/USDT:USDT
2025-12-30 14:00:26 - [core.position_manager] - INFO - Position opened: pos_BTC/USDT:USDT_1767103226 - BTC/USDT:USDT sell 0.00034082504655102096 @ 88109.9219
2025-12-30 14:00:26 - [core.live_trading_engine] - INFO -   ✓ Position opened: pos_BTC/USDT:USDT_1767103226
2025-12-30 14:10:34 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87957.70 | P&L: $0.05 (+0.17%)
2025-12-30 14:10:44 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87957.70 | P&L: $0.05 (+0.17%)
2025-12-30 14:10:54 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87957.70 | P&L: $0.05 (+0.17%)
2025-12-30 14:11:04 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88010.80 | P&L: $0.03 (+0.11%)
2025-12-30 14:11:14 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88010.80 | P&L: $0.03 (+0.11%)
2025-12-30 14:11:24 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88010.80 | P&L: $0.03 (+0.11%)
2025-12-30 14:11:34 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88010.80 | P&L: $0.03 (+0.11%)
2025-12-30 14:11:44 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88010.80 | P&L: $0.03 (+0.11%)
2025-12-30 14:11:54 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88010.80 | P&L: $0.03 (+0.11%)
2025-12-30 14:12:04 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87987.50 | P&L: $0.04 (+0.14%)
2025-12-30 14:12:14 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87987.50 | P&L: $0.04 (+0.14%)
2025-12-30 14:12:24 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87987.50 | P&L: $0.04 (+0.14%)
2025-12-30 14:12:34 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87987.50 | P&L: $0.04 (+0.14%)
2025-12-30 14:12:44 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87987.50 | P&L: $0.04 (+0.14%)
2025-12-30 14:12:54 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87987.50 | P&L: $0.04 (+0.14%)
2025-12-30 14:13:04 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87993.20 | P&L: $0.04 (+0.13%)
2025-12-30 14:13:14 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87993.20 | P&L: $0.04 (+0.13%)
2025-12-30 14:13:24 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87993.20 | P&L: $0.04 (+0.13%)
2025-12-30 14:13:34 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87993.20 | P&L: $0.04 (+0.13%)
2025-12-30 14:13:44 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87993.20 | P&L: $0.04 (+0.13%)
2025-12-30 14:13:54 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87993.20 | P&L: $0.04 (+0.13%)
2025-12-30 14:14:04 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88024.80 | P&L: $0.03 (+0.10%)
2025-12-30 14:14:14 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88024.80 | P&L: $0.03 (+0.10%)
2025-12-30 14:14:24 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88024.80 | P&L: $0.03 (+0.10%)
2025-12-30 14:14:34 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88024.80 | P&L: $0.03 (+0.10%)
2025-12-30 14:14:44 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88024.80 | P&L: $0.03 (+0.10%)
2025-12-30 14:14:54 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88024.80 | P&L: $0.03 (+0.10%)
2025-12-30 14:15:04 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87993.30 | P&L: $0.04 (+0.13%)
2025-12-30 14:15:14 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87993.30 | P&L: $0.04 (+0.13%)
2025-12-30 14:15:24 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87993.30 | P&L: $0.04 (+0.13%)
2025-12-30 14:15:34 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87993.30 | P&L: $0.04 (+0.13%)
2025-12-30 14:15:44 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87993.30 | P&L: $0.04 (+0.13%)
2025-12-30 14:15:55 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87993.30 | P&L: $0.04 (+0.13%)
2025-12-30 14:16:05 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88010.90 | P&L: $0.03 (+0.11%)
2025-12-30 14:16:15 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88010.90 | P&L: $0.03 (+0.11%)
2025-12-30 14:16:25 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88010.90 | P&L: $0.03 (+0.11%)
2025-12-30 14:16:35 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88010.90 | P&L: $0.03 (+0.11%)
2025-12-30 14:16:45 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88010.90 | P&L: $0.03 (+0.11%)
2025-12-30 14:16:55 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88010.90 | P&L: $0.03 (+0.11%)
2025-12-30 14:17:05 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88022.00 | P&L: $0.03 (+0.10%)
2025-12-30 14:17:15 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88022.00 | P&L: $0.03 (+0.10%)
2025-12-30 14:17:25 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88022.00 | P&L: $0.03 (+0.10%)
2025-12-30 14:17:35 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88022.00 | P&L: $0.03 (+0.10%)
2025-12-30 14:17:45 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88022.00 | P&L: $0.03 (+0.10%)
2025-12-30 14:17:55 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88022.00 | P&L: $0.03 (+0.10%)
2025-12-30 14:18:05 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88051.40 | P&L: $0.02 (+0.07%)
2025-12-30 14:18:15 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88051.40 | P&L: $0.02 (+0.07%)
2025-12-30 14:18:25 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88051.40 | P&L: $0.02 (+0.07%)
2025-12-30 14:18:35 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88051.40 | P&L: $0.02 (+0.07%)
2025-12-30 14:18:45 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88051.40 | P&L: $0.02 (+0.07%)
2025-12-30 14:18:55 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88051.40 | P&L: $0.02 (+0.07%)
